Nama_Lokasi_Kecamatan,Nama_Lokasi_,Hari,Tanggal,Total_Positif_PMK,Total_Suspek_Hari_Ini,Total_Suspect_PMK,Total_Sembuh_PMK,Total_Sembuh_Hari_Ini,Total_Mati_PMK
Ngawen,Tempursari,Jumat,1 Juli 2022,,,22,,,
Ngawen,Candirejo,Jumat,1 Juli 2022,,,3,,,
Ngawen,Senden,Jumat,1 Juli 2022,,,15,,,
Ngawen,Manjungan,Jumat,1 Juli 2022,,,1,,,
Jatinom,Kayumas,Jumat,1 Juli 2022,,,1,,,
Jatinom,Bengking,Jumat,1 Juli 2022,,13,7,,,
Jatinom,Randulanang,Jumat,1 Juli 2022,,,8,,,
Jatinom,Beteng,Jumat,1 Juli 2022,,,11,,,
Jatinom,Glagah,Jumat,1 Juli 2022,,8,7,,,
Jatinom,Cawan,Jumat,1 Juli 2022,,,4,,,
Jatinom,Tibayan,Jumat,1 Juli 2022,,,24,,,
Jatinom,Bandungan,Jumat,1 Juli 2022,,14,17,,,
Jatinom,Temuireng,Jumat,1 Juli 2022,,,9,,,
Jatinom,Krajan,Jumat,1 Juli 2022,,10,5,,,
Jatinom,Socokangsi,Jumat,1 Juli 2022,,,48,,,
Jatinom,Puluhan,Jumat,1 Juli 2022,,,21,,,
Jatinom,Jemawan,Jumat,1 Juli 2022,,,18,,,
Jatinom,Mranggen,Jumat,1 Juli 2022,,,17,,,
Tulung,Tulung,Jumat,1 Juli 2022,,,20,,,
Tulung,Bono,Jumat,1 Juli 2022,,,71,,,
Tulung,Gedongjetis,Jumat,1 Juli 2022,,,1,,,
Tulung,Sedayu,Jumat,1 Juli 2022,,,28,,,
Tulung,Pucang Miliran,Jumat,1 Juli 2022,,,5,,,
Tulung,Malangan,Jumat,1 Juli 2022,,,5,,,
Tulung,Mundu,Jumat,1 Juli 2022,,,11,,,
Tulung,Kemiri,Jumat,1 Juli 2022,,,18,,,
Kemalang,Tegalmulyo,Jumat,1 Juli 2022,,,3,,,
Kemalang,Dompol,Jumat,1 Juli 2022,,,7,,,
Kemalang,Tangkil,Jumat,1 Juli 2022,,,3,,,
Jogonalan,Tambakan,Jumat,1 Juli 2022,,,2,,,
Jogonalan,Rejoso,Jumat,1 Juli 2022,,,64,,,
Jogonalan,Granting,Jumat,1 Juli 2022,,,23,,,
Jogonalan,Dompyongan,Jumat,1 Juli 2022,,3,2,,,
Jogonalan,Bakung,Jumat,1 Juli 2022,,,4,,,
Jogonalan,Gondangan,Jumat,1 Juli 2022,,,6,,,
Karanganom,Jungkare,Jumat,1 Juli 2022,,,9,,,
Karanganom,Gempol,Jumat,1 Juli 2022,,,1,,,
Karanganom,Jurangjero,Jumat,1 Juli 2022,,,1,,,
Prambanan,Sengon,Jumat,1 Juli 2022,,,16,,,
Prambanan,Randusari,Jumat,1 Juli 2022,,,2,,,
Prambanan,Brajan,Jumat,1 Juli 2022,,3,7,,,
Prambanan,Kebondalem lor,Jumat,1 Juli 2022,,,1,,,
Prambanan,Kokosan,Jumat,1 Juli 2022,,,5,,,
Prambanan,Joho,Jumat,1 Juli 2022,,,3,,,
Prambanan,Kemudo,Jumat,1 Juli 2022,,,11,,,
Gantiwarno,Kragilan,Jumat,1 Juli 2022,,,8,,,
Karangnongko,Jiwan,Jumat,1 Juli 2022,,,6,,,
Karangnongko,Kadilaju,Jumat,1 Juli 2022,,,1,,,
Manisrenggo,Tijayan,Jumat,1 Juli 2022,,,1,,,
Manisrenggo,Solodiran,Jumat,1 Juli 2022,,,2,,,
Manisrenggo,Tanjungsari,Jumat,1 Juli 2022,,,4,,,
Manisrenggo,Taskombang,Jumat,1 Juli 2022,,,2,,,
Manisrenggo,Nangsri,Jumat,1 Juli 2022,,2,11,,,
Manisrenggo,Barukan,Jumat,1 Juli 2022,,,1,,,
Wonosari,Bentangan,Jumat,1 Juli 2022,,,14,,,
Wonosari,Teloyo,Jumat,1 Juli 2022,,,2,,,
Wonosari,Kingkang,Jumat,1 Juli 2022,,,1,,,
Wonosari,Jelobo,Jumat,1 Juli 2022,,,18,,,
Wedi,Sukorejo,Jumat,1 Juli 2022,,,3,,,
Wedi,Melikan,Jumat,1 Juli 2022,,,6,,,
Wedi,Kadilanggon,Jumat,1 Juli 2022,,,3,,,
Wedi,Kaligayam,Jumat,1 Juli 2022,,,17,,,
Pedan,Temuireng,Jumat,1 Juli 2022,,,2,,,
Pedan,Ngaren,Jumat,1 Juli 2022,,,1,,,
Pedan,Beji,Jumat,1 Juli 2022,,,3,,,
Trucuk,Kalikebo,Jumat,1 Juli 2022,,,4,,,
Trucuk,Karangpakel,Jumat,1 Juli 2022,,,2,,,
Trucuk,Sumber,Jumat,1 Juli 2022,,,4,,,
Trucuk,Wanglu,Jumat,1 Juli 2022,,,9,,,
Trucuk,Bero,Jumat,1 Juli 2022,,,4,,,
Trucuk,Mandong,Jumat,1 Juli 2022,,,3,,,
Cawas,Karangasem,Jumat,1 Juli 2022,,,1,,,
Kalikotes,Kalikotes,Jumat,1 Juli 2022,,,2,,,
Kalikotes,Krajan,Jumat,1 Juli 2022,,,16,,,
Karangdowo,Sentono,Jumat,1 Juli 2022,,,1,,,
Ceper,Kujon,Jumat,1 Juli 2022,,,5,,,
Bayat,Wiro,Jumat,1 Juli 2022,,,57,,,
Ngawen,Tempursari,Sabtu,2 Juli 2022,,,22,,,
Ngawen,Candirejo,Sabtu,2 Juli 2022,,,3,,,
Ngawen,Senden,Sabtu,2 Juli 2022,,,15,,,
Ngawen,Manjungan,Sabtu,2 Juli 2022,,,1,,,
Jatinom,Kayumas,Sabtu,2 Juli 2022,,,1,,,
Jatinom,Bengking,Sabtu,2 Juli 2022,,7,20,,,
Jatinom,Randulanang,Sabtu,2 Juli 2022,,,8,,,
Jatinom,Beteng,Sabtu,2 Juli 2022,,,11,,,
Jatinom,Glagah,Sabtu,2 Juli 2022,,,15,,,
Jatinom,Cawan,Sabtu,2 Juli 2022,,,4,,,
Jatinom,Tibayan,Sabtu,2 Juli 2022,,,19,,,
Jatinom,Bandungan,Sabtu,2 Juli 2022,,9,31,,,
Jatinom,Temuireng,Sabtu,2 Juli 2022,,,9,,,
Jatinom,Krajan,Sabtu,2 Juli 2022,,,5,,,
Jatinom,Socokangsi,Sabtu,2 Juli 2022,,,58,,,
Jatinom,Puluhan,Sabtu,2 Juli 2022,,,1,,,
Jatinom,Jemawan,Sabtu,2 Juli 2022,,,15,,,
Jatinom,Mranggen,Sabtu,2 Juli 2022,,,14,,,
Tulung,Tulung,Sabtu,2 Juli 2022,,,20,,,
Tulung,Bono,Sabtu,2 Juli 2022,,,71,,,
Tulung,Gedongjetis,Sabtu,2 Juli 2022,,,1,,,
Tulung,Sedayu,Sabtu,2 Juli 2022,,,28,,,
Tulung,Pucang Miliran,Sabtu,2 Juli 2022,,,5,,,
Tulung,Malangan,Sabtu,2 Juli 2022,,,5,,,
Tulung,Mundu,Sabtu,2 Juli 2022,,,11,,,
Tulung,Kemiri,Sabtu,2 Juli 2022,,,18,,,
Kemalang,Tegalmulyo,Sabtu,2 Juli 2022,,,3,,,
Kemalang,Dompol,Sabtu,2 Juli 2022,,,7,,,
Kemalang,Tangkil,Sabtu,2 Juli 2022,,,3,,,
Jogonalan,Tambakan,Sabtu,2 Juli 2022,,,2,,,
Jogonalan,Rejoso,Sabtu,2 Juli 2022,,,64,,,
Jogonalan,Granting,Sabtu,2 Juli 2022,,,23,,,
Jogonalan,Dompyongan,Sabtu,2 Juli 2022,,7,5,,,
Jogonalan,Bakung,Sabtu,2 Juli 2022,,,4,,,
Jogonalan,Gondangan,Sabtu,2 Juli 2022,,,6,,,
Karanganom,Jungkare,Sabtu,2 Juli 2022,,,9,,,
Karanganom,Gempol,Sabtu,2 Juli 2022,,,1,,,
Karanganom,Jurangjero,Sabtu,2 Juli 2022,,,1,,,
Prambanan,Sengon,Sabtu,2 Juli 2022,,,16,,,
Prambanan,Randusari,Sabtu,2 Juli 2022,,1,2,,,
Prambanan,Brajan,Sabtu,2 Juli 2022,,2,10,,,
Prambanan,Kebondalem lor,Sabtu,2 Juli 2022,,2,1,,,
